,Measured Protein,RABIT Protein
Dementia,ace2; acp6; acta2; adam8; adgrg1; agr2; agt; ambn; anxa10; arnt; artn; atp6ap2; blmh; c1qa; c1qtnf1; ca14; cbln4; ccl16; cd2; cd300lg; cd63; cdh17; ceacam5; cend1; clec4a; clec4g; cpa2; cst7; ctsc; ctsv; cxcl17; dcbld2; egfr; ephx2; fabp1; faslg; fbp1; fcar; fcgr2b; fgf21; gcnt1; gdf15; gfap; gh2; ghrl; gip; igf2r; igfbp3; igfbp7; il11; il12rb1; il17c; il18r1; il1b; il2rg; il4r; insl3; insr; kiaa1549; kir2dl3; klk14; lrrn1; lsm1; ltbp2; masp1; mb; mep1b; mmp3; ncam1; ncs1; ndufs6; nell2; nptx2; ntf4; nxph1; pag1; pi3; pmch; pnpt1; ptprn2; rab6a; rarres1; rbp2; ret; s100a11; slamf8; spink8; ssc4d; tacstd2; tcl1a; tfrc; thy1; tlr4; tnfrsf12a; tnni3; tp53; vcan; vgf,acadm; acan; afap1; aldh2; aoc1; armcx2; atp1b3; atp2b4; bcl7a; brd2; brd3; brdt; c1qtnf6; c1rl; caly; capn3; cbln1; cd109; cd248; cd3d; cd3g; cd8a; cep290; cinp; clec12a; coch; cope; crebzf; crx; csf3r; ctla4; cxcl3; dbh; dcdc2c; ddc; dkk3; dlgap5; edar; epha4; epo; ervv_1; f9; fgf19; fut1; gabra4; gadd45gip1; gata3; gc; glipr1; gpa33; grk5; gsap; gstm4; hdac8; heph; hif1a; hras; hsd17b3; ifnl2; igdcc3; il13ra2; il17d; il2; kir3dl1; klk1; klk10; krt17; lmod2; lysmd3; maged1; meltf; mfap3l; mmut; mn1; mrpl52; muc2; naga; nek7; nmrk2; nos2; nphs2; nptn; nrp1; osbpl2; pdxdc1; pepd; pfdn4; pla2g15; plxdc1; pnma2; ppm1a; prnd; prtg; ralb; relb; rgma; rnf43; s100p; satb1; scn3a; serpini2; shpk; sirpa; skap1; slamf7; slirp; snx5; sox2; sparc; tbr1; tex33; tgfbr3; tgm2; tmed1; tpbgl; tsc1; tspan15; txk; vcpkmt; vipr1; zp4
AD,adam15; adgrg1; adm; alcam; apoe; cd2; cert; enah; enpp7; fabp1; fcer2; flt3lg; fus; gfap; hyal1; il3; nefl; ret,akr1b10; cd14; cd58; cdkl5; ceacam1; cngb3; col28a1; cpxm1; cyp24a1; epb41l5; epha10; erc2; fam20a; gabra4; gbp4; glt8d2; grp; hsd17b3; il17f; megf11; naaa; ninj1; nlgn2; pnma1; prkag3; prss53; rspo1; s100g; sox9; uros; vim
CBVD,acan; ache; acrv1; acta2; acvrl1; adm; agr3; akr1c4; aldh3a1; angpt2; angptl4; arg1; arsa; art3; atox1; atp6v1d; atp6v1g2; b3gnt7; bcan; bche; bex3; c1qa; c7; ca11; ca14; ca7; ca9; camkk1; capn3; ccer2; ccl14; ccl15; ccl24; ccl27; ccl7; cd244; cd300lg; cd33; cd4; cdcp1; cdh15; ceacam5; cela3a; cep20; chek2; chrdl1; clec4c; clta; cndp1; col4a1; cpb1; crip2; crisp2; crlf1; crym; csf3; csrp3; cstb; cthrc1; ctnna1; ctsc; ctsf; ctsl; cxcl11; cxcl12; cxcl13; cxcl17; dkk4; dmp1; dpep1; dusp13; ebi3_il27; ece1; eda2r; enpp5; enpp7; entpd6; epgn; eps8l2; ern1; esm1; f10; f7; fabp9; fap; faslg; fbln2; fcamr; fcrl3; fcrl5; fes; fgf21; fgl1; fgr; fkbp7; flrt2; fut3_fut5; galnt10; galnt2; galnt3; galnt7; gas2; gbp4; gdf15; gdnf; gh1; gh2; gip; gkn1; glt8d2; gp1ba; gstp1; hao1; havcr1; hdac9; heph; hjv; hmcn2; hpgds; hrc; hsd17b3; icoslg; idua; ifngr1; ifnl1; il10ra; il15; il17d; il18r1; il1r1; il25; il33; il6; ism2; itgam; itih4; kcnip4; kdm3a; klk4; krt18; krt5; l1cam; lair1; lama4; lamb1; lamp2; lap3; lect2; lefty2; leo1; lpcat2; lrfn2; lrp2bp; lrrc25; ltb; ly96; matn3; megf9; milr1; mme; mmp12; mmp3; mpo; mslnl; ndrg1; nectin1; nefl; nell2; nenf; nmnat1; nos3; npc2; nptxr; ntprobnp; ntrk2; nxph1; ogt; omd; optc; padi2; padi4; pag1; pcare; pcdh9; pdgfrb; pga4; pinlyp; pla2g15; pla2g2a; pla2g7; plaur; plxdc1; pnlip; pnpt1; podxl2; ppm1a; prg2; prss27; psg1; psma1; psrc1; pten; ptx3; pvalb; qsox1; rassf2; reg1a; retn; rgma; rnase6; rnaset2; ror1; s100a16; scg3; scly; sct; sdc4; selplg; serpina12; serpina3; serpina9; serpini2; sftpa2; slit2; slitrk1; slitrk6; smad5; smarca2; smpd1; smpdl3a; sned1; spink4; spint1; srp14; ssc5d; stx16; stxbp3; sult2a1; susd5; tank; tcof1; tdgf1; tek; tff3; tgfbr3; tgoln2; tmem25; tmprss11b; tmprss15; tnfsf11; tnxb; tpbgl; tppp3; tpsg1; trim21; tshb; tspan7; unc5d; upb1; vwf; wfdc2; xcl1,abo; acp1; acrbp; acy3; adamtsl5; adra2a; afp; aida; akt1s1; alcam; aldh2; alpp; ank2; anp32c; anpep; apoa1; apoa2; apoa4; apoe; arid4b; armcx2; arnt; art5; artn; atp1b1; atp5f1d; babam1; bag3; batf; bcl2l1; bcl7a; bcl7b; bhlhe40; brd2; brdt; brme1; btla; c1qbp; c1qtnf6; caly; camlg; casp4; ccl20; ccl26; ccl8; cd109; cd177; cd209; cd22; cd226; cd300e; cd3d; cd3g; cd58; cd63; cd86; cd93; cdc25a; cdh17; cdh5; ceacam21; cela2a; cep112; cep170; cep350; ces3; chmp1a; cinp; clasp1; clec10a; clec2l; clint1; clspn; clstn3; cnpy2; col18a1; col1a1; col2a1; col3a1; cope; cpe; cplx2; cptp; cpxm2; creb3; csf2; csf2rb; csh1; csnk1d; cst7; ctsb; cxcl1; cxcl3; cxcl6; cyb5a; cyth3; dand5; dbh; dcdc2c; dcun1d2; dda1; ddx39a; ddx4; ddx53; defb103a_defb103b; defb116; defb118; dlgap5; dlk1; dll4; doc2b; dock9; dscam; dync1h1; ecscr; edem2; ednrb; enox2; enpep; ensa; entpd2; epb41l5; epcam; erbb2; erc2; evi2b; evpl; fcgr2b; fgf2; fgf7; fgfbp2; fmr1; furin; fut1; fut8; fxn; fzd10; gabarapl1; gadd45b; gbp6; gcg; gfod2; glo1; glod4; gngt1; gnpda1; gp6; gpa33; gpc5; gpihbp1; grsf1; gsap; gsr; gstm4; gstt2b; gucy2c; h2ap; hbegf; hbz; hcg22; hgfac; hhex; hk2; hmmr; hnf1a; hs6st2; hyou1; ifnar1; igdcc3; igfbp3; igfbp4; il13ra2; il17a; il17f; il1a; il2; il20ra; il22ra1; il31; il5; il9; itgb1; jmjd1c; kiaa2013; kir2dl2; kir2ds4; kir3dl2; klb; klk12; klk13; klk15; klrd1; krt17; lat; lcn15; lgals8; lgmn; lipf; lpo; lrp2; lsm1; lta4h; lypd1; m6pr; maneal; map1lc3b2; map2; masp1; mcts1; mdga1; med21; megf10; mep1b; metap1; mllt1; mmut; mn1; mog; morf4l2; mrpl52; mrps16; mtdh; muc16; myh4; myl6b; mylpf; myom1; naaa; ndst1; nek7; nfatc1; nhlrc3; nmrk2; nop56; nptx1; nrtn; nrxn3; nt5e; ocln; ofd1; pam; pcsk7; pdcd6; pde1c; pdgfb; pfdn4; pglyrp2; pithd1; pkn3; pnliprp2; podxl; ppp1cc; ppp1r14a; ppy; prdx1; prdx6; prkcq; prkd2; prnd; pros1; prss53; prtg; psca; psmc3; psmd1; ptprc; ptprz1; pttg1; pvr; pxdnl; rab3gap1; rad51; ralb; raly; ranbp2; rangap1; rap1a; rasgrf1; rbm17; rbm19; rbp1; reck; rest; rgl2; rgs8; rln1; rnf168; rrm2; rrp15; ruvbl1; ryr1; s100a14; saa4; sart1; scn2b; scn3a; scn3b; sdhb; sele; sema4c; septin9; serpina5; sgsh; siglec15; siglec8; sil1; slc28a1; slc51b; slirp; slk; slmap; smad2; snap25; snx2; sowaha; stx1b; susd1; tacstd2; tagln3; tef; terf1; tf; tfap2a; thrap3; thsd1; tia1; tjp3; tlr1; tlr2; tlr4; tmco5a; tmod4; tnc; tnfrsf17; tnpo1; top1mt; tprkb; treml1; tspan15; tubb3; txndc9; uhrf2; ung; upk3bl1; usp47; vcpkmt; vegfd; vipr1; vsnl1; vwa5a; wasl; wdr46; wif1; wnt9a; xrcc4; yy1; znrf4; zp4
CKD,a1bg; aamdc; abhd14b; acaa1; acta2; actn4; acvrl1; adam15; adamts8; adgre2; agr2; agr3; agrp; agxt; ak1; akap12; amfr; amy2b; angptl2; angptl7; anp32c; anxa5; aoc1; apcs; apom; app; arhgef10; arnt; asgr2; atp6ap2; bambi; bglap; bola1; bst1; btd; c2cd2l; ca4; calb1; casp1; cbx2; cc2d1a; ccdc80; ccl15; ccl16; ccl19; ccl23; ccl26; ccl27; ccl4; ccnd2; cd14; cd1c; cd276; cd302; cd38; cd59; cd6; cd70; cd86; cdhr2; cdk1; cdnf; cdsn; ceacam16; ceacam8; cfp; chi3l1; cinp; clec1a; clec4a; clec4m; clstn1; clu; clul1; cntn3; col15a1; col6a3; col9a1; cpa1; cpe; cpxm1; crh; crip2; crx; crybb2; crygd; cstb; ctag1a_ctag1b; ctrc; ctsb; ctsd; ctsh; ctso; cxadr; cxcl8; cytl1; dcn; ddx1; defa1_defa1b; defb104a_defb104b; defb4a_defb4b; dkk4; dnaja1; dnph1; dsc2; dsg3; dtx2; ecm1; eda2r; edil3; efna4; eloa; entpd2; entpd6; epo; erbb2; f3; fabp2; fabp4; fabp9; fam3b; fap; fcn2; fdx1; fen1; fes; fgf5; fgf6; fgfbp1; flt3; folr1; folr2; galnt7; gc; gdf15; gdf2; gfra1; gga1; ghrl; gimap8; gipc2; glo1; glyr1; gm2a; gpa33; gpc1; gpr158; gprc5c; guk1; gzma; h2ap; havcr1; hdac8; hpcal1; hrc; hs6st1; hsd11b1; hsp90b1; hspg2; icam3; icam5; ids; ifit1; ifng; igfbp4; igfbp6; igsf3; il10ra; il12rb1; il18r1; il18rap; il1r2; il22; inpp5j; insl4; jchain; jun; kazald1; kcnip4; kir2dl3; klf4; klk4; kyat1; kynu; lag3; lcp1; lgals1; lgals3; lgmn; lhb; lhpp; lif; lilrb5; lpo; lsp1; lta4h; luzp2; ly6d; lyar; lypd1; lyve1; map3k5; mfap3; milr1; mmp10; mmp13; mmp7; msmb; myom3; mzb1; naaa; nadk; nbl1; ncan; nectin4; nell1; nfatc3; ngf; nos1; npc2; npdc1; nptx1; nrp1; nt5e; ntprobnp; nucb2; obp2b; ogn; olr1; omg; optc; osmr; padi2; padi4; paep; pbxip1; pcdh17; pcdhb15; pcna; phospho1; pi3; pik3ap1; pla2g1b; pla2g7; plxnb2; podxl; pof1b; pon3; prc1; prdx1; prelp; prkcq; prrt3; prune2; psg1; psma1; ptn; ptp4a3; pxdnl; rab37; rarres1; rbks; rbm25; rbp7; relt; ren; rgma; rgs8; rnase1; rnase3; rps10; rrm2b; rspo3; rtbdn; rtn4r; s100a11; s100a4; scarb2; scgb1a1; scp2; scrg1; sdc1; sdc4; serpina6; serpina9; serpinb8; serpinc1; serpinf1; sftpa2; sgsh; shisa5; skap1; slit2; smpdl3b; sncg; snx15; sod3; spink1; spink4; spint1; spon1; ssh3; tafa5; tcl1a; tcn1; tdp1; tff1; tff2; tff3; tfpi2; tgfbi; tgfbr2; tgfbr3; thop1; timd4; timp1; tjap1; tmed4; tmprss15; tnc; tnfaip8; tnfrsf12a; tnfrsf6b; tnfsf11; tnfsf12; tnfsf13; tnfsf14; trim21; trpv3; tsc1; umod; uxs1; vcam1; vsig2; vsig4; vstm1; vstm2l; wasf3; wfdc2; wif1; wnt9a; zp3,abl1; abo; acadm; acadsb; acp6; acrv1; adam12; adamts15; adcyap1r1; adgre5; adra2a; agbl2; alms1; amdhd2; amigo1; amy1a_amy1b_amy1c; ankra2; anxa11; apob; arf6; arg2; arhgap5; armcx2; arntl; asah1; atf4; atp1b1; atp5f1d; atp6v1g2; axl; b2m; b3gat3; babam1; bcl2; bcl7a; bcl7b; bcr; bdnf; bmp6; bmper; bpifb1; brd1; brd3; brdt; brk1; bsnd; bst2; btla; btn1a1; c19orf12; c1galt1c1; c1qtnf5; c1qtnf9; c7orf50; ca7; cabp2; cacna1h; cadps; calb2; calca; calcb; cant1; casp4; cblif; cbln1; cbln4; ccdc28a; ccdc50; ccer2; ccl2; cd101; cd109; cd164l2; cd2; cd226; cd300e; cd3d; cd3g; cd58; cdan1; cdc123; cdc25a; cdh22; cdh23; cdh4; cdhr5; cdon; ceacam20; ceacam6; cenpj; cep170; cep290; cep350; cfhr4; chac2; chga; chm; chp1; chrm1; clec4c; clic5; clint1; clspn; cndp1; cntnap4; col1a1; col4a4; copb2; cox6b1; cpb1; cptp; crebzf; crisp3; crtac1; crtap; csf3r; csnk1d; ctla4; ctrl; ctse; cuzd1; cxcl10; cxcl3; cyb5a; cyp24a1; cyth3; dand5; dapk2; dapp1; dcdc2c; dclre1c; dda1; ddi2; ddx25; ddx39a; ddx53; defb103a_defb103b; dgcr6; dgkz; dhodh; diablo; dlgap5; dnajb1; dnlz; dnm1; doc2b; dpp10; dsg2; dtx3; dync1h1; ece1; ecscr; edar; edem2; edf1; ednrb; efnb2; eif4e; eng; enoph1; enox2; epb41l5; epn1; erc2; ercc1; evi2b; f7; farsa; fcgr2b; fcrl2; fdx2; fga; fgf16; fgf2; fgf20; fgf9; fh; fhip2a; fkbp1b; flrt2; flt1; flt3lg; fmr1; folh1; fosb; foxo1; fut1; fut8; fxyd5; gabra4; gad1; gadd45b; gage2a; galnt5; gamt; gapdh; gas6; gask1a; gata3; gchfr; gdnf; gh1; ghr; gimap7; gipc3; gipr; gja8; gkn1; glipr1; glp1r; glrx5; glt8d2; gp2; gpha2; grap2; grk5; grp; gstm4; gstt2b; gucy2c; hadh; hcg22; hif1a; hip1; hjv; hk2; hla_dra; hmgcs1; hmmr; hs3st3b1; hs6st2; htr1b; hyou1; icam4; id4; ifngr2; igdcc3; igf1r; igf2bp3; igfl4; ighmbp2; ikzf2; il10; il11; il13; il13ra2; il17ra; il1b; il20ra; il20rb; il25; il36a; il4r; il5ra; il7; il9; impg1; ism2; itgam; itgb1bp1; itgb7; itpa; izumo1; jam2; kcnc4; kcnh2; khdc3l; kiaa1549; kiaa1549l; kiaa2013; kif20b; kirrel1; klk12; klk15; klk8; klrc1; krt19; krt8; lama1; lama4; lamtor5; lbp; ldlrap1; leg1; lilra5; lilra6; lmod2; lrfn2; lrig3; lrp11; lrp2; lrpap1; lrrc37a2; lrrc38; lrrn1; lrtm1; lsm1; lxn; lypla2; lyzl2; m6pr; mamdc2; mamdc4; map1lc3a; map1lc3b2; mapre3; mcee; megf9; mepe; mfap3l; micall2; micb_mica; mki67; mmp15; mmut; mn1; morc3; morf4l1; morn4; mpi; mprip; mrpl28; mrpl52; mrps16; mst1; mtpn; muc13; myh4; myl6b; myo6; myom1; naprt; nars1; nectin1; nedd4l; nenf; nfic; nfkb2; nid1; nlgn1; nlgn2; nme1; nmrk2; nop56; nos2; nphs2; npm1; nptn; nrn1; nrtn; nrxn3; ntrk2; nubp1; nudt10; nudt2; nup50; nxpe4; ocln; ogt; osbpl2; ostn; otoa; pafah1b3; paip2b; palld; palm3; pcdh7; pdap1; pdcd1lg2; pdcl2; pde1c; pdgfb; pdia3; pdia5; pdrg1; pdxdc1; pf4; pfdn2; pglyrp4; pgr; phldb2; pithd1; pklr; pla2g15; plcb2; plxna4; pmch; pnliprp1; pnma2; polr2a; postn; ppie; ppif; ppl; ppm1a; ppp1r12b; ppp1r14d; ppp3r1; ppt1; ppy; pqbp1; prame; prkd2; prl; prnd; prss2; prss53; prtg; prtn3; psca; psmc3; psrc1; ptgr1; pth; ptprf; pttg1; pvalb; rab39b; rab3gap1; rab6b; ralb; rap1a; rarres2; rasa1; rbm17; rbpms; relb; rest; rexo2; rictor; ripk4; rln1; rnase6; rnf31; rnf4; rp2; rpe; rrp15; safb2; sag; scgb2a2; scin; scn2a; scn2b; scn3b; sdhb; septin7; septin9; serpina1; serpina5; serpinb9; serpine1; serpine2; serping1; sf3b4; sh3bgrl2; sh3gl3; shpk; siglec15; sil1; sirt1; sla2; slc1a4; slc34a3; slc44a4; slitrk2; slk; smad5; snu13; sord; sowaha; spag1; spink6; sptbn2; ssb; st8sia1; stam; stx3; suox; sytl4; tap1; tarm1; tcl1b; tdgf1; tdo2; tef; tek; terf1; tex101; tex33; tfpi; tgfb2; thbs2; thrap3; thtpa; tinagl1; tjp3; tk1; tmem106a; tmod4; tnpo1; top1mt; tp73; tppp2; tprkb; tpsd1; tpsg1; tpt1; traf3ip2; trdmt1; treh; trim26; tspan7; tubb3; txnl1; tyrp1; ube2b; ubqln3; ugdh; uhrf2; ung; upk3a; upk3bl1; uros; vcpkmt; vegfa; vegfc; vegfd; vim; vipr1; vnn1; vsig10; was; wasl; yars1; ythdf3; znf830; znrf4; zp4
CLD,acy1; ager; ahsp; arhgap1; arid4b; asah2; bst2; ca14; cbx2; ccdc28a; ccl26; cd274; cd6; cd99l2; cdhr2; ceacam1; chad; cntn5; cpox; creg1; csnk1d; ctsb; ctsh; ctsl; cxcl12; dgcr6; fgf20; ggt1; grn; hmox2; hyou1; idua; igfbp3; il11; il32; il6; kit; kitlg; lgals7_lgals7b; ltbr; ly75; mepe; ncr1; plxdc1; rbp5; rida; scly; serpinc1; sox9; suox; tfpi2; tnfrsf10a; vwa1; vwc2l,akr7l; arntl; bhlhe40; bpifa2; brme1; c1qtnf5; ca7; cacnb1; casp4; cbln4; cdan1; cdon; cep112; chp1; cntf; col1a1; cox5b; csh1; ctag1a_ctag1b; ctrb1; doc2b; dpp4; f10; fgf6; fgf9; fkbp1b; gad2; hpgds; htr1a; ifnl2; iglon5; il1rn; insl5; itgb1bp2; kiaa1549l; kiaa2013; kif20b; kir3dl2; ldlr; lta4h; map1lc3b2; megf10; megf9; micall2; morf4l2; mrpl52; muc16; myo6; nampt; nme1; nop56; ntf3; ostn; pag1; pbk; pdzd2; podxl; prtg; psma1; scn3a; selenop; selplg; slirp; spag1; sumf1; tf; thbs2; tlr4; ugdh; ung; zpr1
